Week,Trend Value
2017-08-27,15
2017-09-03,14
2017-09-10,14
2017-09-17,15
2017-09-24,15
2017-10-01,14
2017-10-08,13
2017-10-15,15
2017-10-22,17
2017-10-29,15
2017-11-05,15
2017-11-12,14
2017-11-19,15
2017-11-26,18
2017-12-03,22
2017-12-10,27
2017-12-17,37
2017-12-24,35
2017-12-31,37
2018-01-07,46
2018-01-14,24
2018-01-21,23
2018-01-28,23
2018-02-04,20
2018-02-11,20
2018-02-18,17
2018-02-25,16
2018-03-04,18
2018-03-11,17
2018-03-18,15
2018-03-25,16
2018-04-01,12
2018-04-08,13
2018-04-15,16
2018-04-22,15
2018-04-29,15
2018-05-06,12
2018-05-13,15
2018-05-20,13
2018-05-27,12
2018-06-03,10
2018-06-10,12
2018-06-17,9
2018-06-24,8
2018-07-01,8
2018-07-08,9
2018-07-15,20
2018-07-22,16
2018-07-29,14
2018-08-05,12
2018-08-12,12
2018-08-19,12
2018-08-26,25
2018-09-02,29
2018-09-09,23
2018-09-16,20
2018-09-23,16
2018-09-30,19
2018-10-07,14
2018-10-14,14
2018-10-21,13
2018-10-28,14
2018-11-04,16
2018-11-11,14
2018-11-18,13
2018-11-25,14
2018-12-02,17
2018-12-09,14
2018-12-16,15
2018-12-23,10
2018-12-30,11
2019-01-06,15
2019-01-13,15
2019-01-20,13
2019-01-27,13
2019-02-03,13
2019-02-10,13
2019-02-17,13
2019-02-24,14
2019-03-03,12
2019-03-10,14
2019-03-17,16
2019-03-24,12
2019-03-31,19
2019-04-07,17
2019-04-14,13
2019-04-21,15
2019-04-28,13
2019-05-05,13
2019-05-12,16
2019-05-19,15
2019-05-26,14
2019-06-02,13
2019-06-09,11
2019-06-16,13
2019-06-23,13
2019-06-30,12
2019-07-07,12
2019-07-14,9
2019-07-21,9
2019-07-28,8
2019-08-04,10
2019-08-11,9
2019-08-18,9
2019-08-25,12
2019-09-01,12
2019-09-08,12
2019-09-15,12
2019-09-22,13
2019-09-29,14
2019-10-06,13
2019-10-13,14
2019-10-20,11
2019-10-27,12
2019-11-03,15
2019-11-10,14
2019-11-17,13
2019-11-24,11
2019-12-01,11
2019-12-08,11
2019-12-15,15
2019-12-22,8
2019-12-29,10
2020-01-05,12
2020-01-12,13
2020-01-19,13
2020-01-26,11
2020-02-02,15
2020-02-09,15
2020-02-16,13
2020-02-23,13
2020-03-01,15
2020-03-08,13
2020-03-15,10
2020-03-22,12
2020-03-29,8
2020-04-05,9
2020-04-12,10
2020-04-19,10
2020-04-26,12
2020-05-03,12
2020-05-10,13
2020-05-17,12
2020-05-24,11
2020-05-31,12
2020-06-07,12
2020-06-14,11
2020-06-21,9
2020-06-28,12
2020-07-05,60
2020-07-12,21
2020-07-19,16
2020-07-26,13
2020-08-02,15
2020-08-09,12
2020-08-16,14
2020-08-23,12
2020-08-30,13
2020-09-06,11
2020-09-13,15
2020-09-20,15
2020-09-27,12
2020-10-04,11
2020-10-11,10
2020-10-18,11
2020-10-25,8
2020-11-01,8
2020-11-08,8
2020-11-15,10
2020-11-22,16
2020-11-29,12
2020-12-06,9
2020-12-13,12
2020-12-20,34
2020-12-27,50
2021-01-03,100
