Month,Trend Value
2011-12,3
2012-01,3
2012-02,6
2012-03,4
2012-04,4
2012-05,4
2012-06,5
2012-07,5
2012-08,4
2012-09,5
2012-10,5
2012-11,8
2012-12,6
2013-01,6
2013-02,9
2013-03,8
2013-04,10
2013-05,20
2013-06,16
2013-07,16
2013-08,23
2013-09,17
2013-10,18
2013-11,19
2013-12,13
2014-01,13
2014-02,19
2014-03,19
2014-04,17
2014-05,17
2014-06,16
2014-07,17
2014-08,16
2014-09,16
2014-10,20
2014-11,12
2014-12,13
2015-01,15
2015-02,16
2015-03,15
2015-04,16
2015-05,22
2015-06,16
2015-07,19
2015-08,21
2015-09,22
2015-10,21
2015-11,16
2015-12,14
2016-01,16
2016-02,21
2016-03,23
2016-04,49
2016-05,22
2016-06,22
2016-07,24
2016-08,19
2016-09,19
2016-10,22
2016-11,22
2016-12,19
2017-01,19
2017-02,22
2017-03,22
2017-04,28
2017-05,28
2017-06,28
2017-07,41
2017-08,32
2017-09,27
2017-10,27
2017-11,39
2017-12,30
2018-01,29
2018-02,39
2018-03,30
2018-04,32
2018-05,34
2018-06,33
2018-07,36
2018-08,44
2018-09,45
2018-10,47
2018-11,34
2018-12,36
2019-01,35
2019-02,33
2019-03,51
2019-04,45
2019-05,48
2019-06,46
2019-07,44
2019-08,39
2019-09,37
2019-10,43
2019-11,77
2019-12,51
2020-01,54
2020-02,81
2020-03,55
2020-04,40
2020-05,45
2020-06,53
2020-07,79
2020-08,80
2020-09,100
2020-10,64
2020-11,60
2020-12,79
2021-01,90
2021-02,81
2021-03,76
