Trade date,Settlement date,Transaction category,"Trade amount (in millions, USD)",Issuer,Security description,CUSIP,Price,"Accrued interest (in dollars, USD)","Total amount transferred (in millions, USD)",Counterparty,,
Jul 25 2019,Jul 26 2019,Purchase, 10.0 ,TSY,TFR 00.115 01/31/21 ,9128285Y2,99.90007813," 57,368.74 ", 10.0 ,Amherst Pierpont Securities LLC,,
Jul 25 2019,Jul 26 2019,Purchase, 3.0 ,TSY,TFR 00.033 04/30/20 ,9128284K3,99.90250000," 16,616.12 ", 3.0 ,Cantor Fitzgerald & Co.,,
Jul 25 2019,Jul 26 2019,Purchase, 10.0 ,TSY,TFR 00.033 04/30/20 ,9128284K3,99.87187500," 55,387.07 ", 10.0 ,"Credit Suisse AG, New York Branch",,
Jul 25 2019,Jul 26 2019,Purchase, 2.0 ,TSY,TFR 00.000 01/31/20 ,9128283T5,99.92175781," 10,917.91 ", 2.0 ,BNP Paribas Securities Corp.,,
Jul 25 2019,Jul 26 2019,Purchase, 10.0 ,TSY,TFR 00.000 01/31/20 ,9128283T5,99.89574219," 54,589.57 ", 10.0 ,"Credit Suisse AG, New York Branch",,
Jul 25 2019,Jul 26 2019,Purchase, 3.0 ,TSY,TFR 00.115 01/31/21 ,9128285Y2,99.90160156," 17,210.62 ", 3.0 ,Goldman Sachs & Co. LLC,,
Jul 25 2019,Jul 26 2019,Purchase, 4.0 ,TSY,TFR 00.115 01/31/21 ,9128285Y2,99.90160156," 22,947.49 ", 4.0 ,NatWest Markets Securities Inc.,,
Jul 25 2019,Jul 26 2019,Purchase, 2.0 ,TSY,TFR 00.139 04/30/21 ,9128286Q8,99.89316406," 11,593.96 ", 2.0 ,BNP Paribas Securities Corp.,,
Jul 25 2019,Jul 26 2019,Purchase, 1.0 ,TSY,TFR 00.043 07/31/20 ,912828Y53,99.88093750," 5,562.87 ", 1.0 ,Cantor Fitzgerald & Co.,,
Jul 25 2019,Jul 26 2019,Purchase, 5.0 ,TSY,TFR 00.045 10/31/20 ,9128285H9,99.84175781," 27,838.53 ", 5.0 ,Morgan Stanley & Co. LLC,,
Aug 14 2019,Aug 15 2019,Purchase, 250.0 ,TSY,B 04/23/20          ,912796SM2,98.77500000, -   , 246.9 ,BNP Paribas Securities Corp.,,
