,symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
0,AMZN,2017-02-10 00:00:00+00:00,827.46,828.0,822.85,823.82,2429609,827.46,828.0,822.85,823.82,2429609,0.0,1.0
1,AMZN,2017-02-13 00:00:00+00:00,836.53,842.9999,828.55,831.62,4172618,836.53,842.9999,828.55,831.62,4172618,0.0,1.0
2,AMZN,2017-02-14 00:00:00+00:00,836.39,838.31,831.4522,837.0,2792442,836.39,838.31,831.4522,837.0,2792442,0.0,1.0
3,AMZN,2017-02-15 00:00:00+00:00,842.7,842.81,832.82,834.0,2968853,842.7,842.81,832.82,834.0,2968853,0.0,1.0
4,AMZN,2017-02-16 00:00:00+00:00,844.14,845.0,839.375,841.84,2714667,844.14,845.0,839.375,841.84,2714667,0.0,1.0
5,AMZN,2017-02-17 00:00:00+00:00,845.07,847.27,840.73,842.0,3112275,845.07,847.27,840.73,842.0,3112275,0.0,1.0
6,AMZN,2017-02-21 00:00:00+00:00,856.44,857.98,847.25,848.84,3507742,856.44,857.98,847.25,848.84,3507742,0.0,1.0
7,AMZN,2017-02-22 00:00:00+00:00,855.61,858.43,852.18,856.95,2616971,855.61,858.43,852.18,856.95,2616971,0.0,1.0
8,AMZN,2017-02-23 00:00:00+00:00,852.19,860.86,848.0,857.57,3461984,852.19,860.86,848.0,857.57,3461984,0.0,1.0
9,AMZN,2017-02-24 00:00:00+00:00,845.24,845.81,837.7501,844.69,3687963,845.24,845.81,837.7501,844.69,3687963,0.0,1.0
10,AMZN,2017-02-27 00:00:00+00:00,848.64,852.5,839.67,842.38,2713627,848.64,852.5,839.67,842.38,2713627,0.0,1.0
11,AMZN,2017-02-28 00:00:00+00:00,845.04,854.09,842.05,851.45,2793709,845.04,854.09,842.05,851.45,2793709,0.0,1.0
12,AMZN,2017-03-01 00:00:00+00:00,853.08,854.83,849.01,853.05,2760083,853.08,854.83,849.01,853.05,2760083,0.0,1.0
13,AMZN,2017-03-02 00:00:00+00:00,848.91,854.82,847.28,853.08,2132098,848.91,854.82,847.28,853.08,2132098,0.0,1.0
14,AMZN,2017-03-03 00:00:00+00:00,849.88,851.985,846.27,847.2,1951575,849.88,851.985,846.27,847.2,1951575,0.0,1.0
15,AMZN,2017-03-06 00:00:00+00:00,846.61,848.49,841.12,845.23,2610370,846.61,848.49,841.12,845.23,2610370,0.0,1.0
16,AMZN,2017-03-07 00:00:00+00:00,846.02,848.46,843.75,845.48,2247554,846.02,848.46,843.75,845.48,2247554,0.0,1.0
17,AMZN,2017-03-08 00:00:00+00:00,850.5,853.07,846.79,848.0,2288317,850.5,853.07,846.79,848.0,2288317,0.0,1.0
18,AMZN,2017-03-09 00:00:00+00:00,853.0,856.3999,850.31,851.0,2048187,853.0,856.3999,850.31,851.0,2048187,0.0,1.0
19,AMZN,2017-03-10 00:00:00+00:00,852.46,857.35,851.72,857.0,2436434,852.46,857.35,851.72,857.0,2436434,0.0,1.0
20,AMZN,2017-03-13 00:00:00+00:00,854.59,855.69,851.71,851.77,1909672,854.59,855.69,851.71,851.77,1909672,0.0,1.0
