,count
0,3659
1,3465
2,3159
3,3128
4,3544
5,3410
6,2815
7,2718
8,3472
9,2657
10,2904
11,3359
12,3500
13,3084
14,3234
15,2772
16,2969
17,3680
18,3578
19,3000
20,3158
21,3333
22,3000
23,2894
24,3374
25,3526
26,3896
27,3298
28,3794
29,3496
30,4073
31,3957
32,4044
33,4224
34,4052
35,3265
36,4103
37,3619
38,4014
39,3070
40,3871
41,3641
42,3299
43,3936
44,3085
45,3892
46,3209
47,3587
48,3342
49,3915
50,3483
51,3871
52,3930
53,3521
54,3498
55,3184
56,3617
57,3641
58,3981
59,3689
60,4155
61,4370
62,3866
63,4494
64,4414
65,4493
66,4080
67,4184
68,4388
69,3667
70,4227
71,4186
72,4777
73,4711
74,3840
75,4060
76,4217
77,3846
78,4461
79,3792
80,4843
81,4789
82,4197
83,4096
84,4763
85,4810
86,3884
87,4587
88,4427
89,4316
90,5251
91,5124
92,4610
93,4414
94,4658
95,4606
96,4302
97,4783
98,4664
99,4942
100,4897
101,4814
102,5604
103,5146
104,5223
105,4634
106,5197
107,5099
108,5428
109,5405
110,4801
111,5426
112,4597
113,4285
114,4783
115,5384
116,5117
117,4682
118,4534
119,4888
120,5069
121,5762
122,5444
123,5102
124,5260
125,4473
126,5156
127,4403
128,5286
129,4530
130,5087
131,5441
132,4875
133,4624
134,5062
135,4856
136,4512
137,5043
138,4997
139,4685
140,4740
141,5071
142,4936
143,5233
144,5499
145,5051
146,5609
147,5003
148,5028
149,5645
150,5152
151,5508
152,5151
153,5309
154,5693
155,5363
156,5316
157,5624
158,5288
159,5511
160,4768
161,5687
162,5638
163,5386
164,4899
165,5419
166,5792
167,5276
168,5500
169,4960
170,5619
171,5570
172,5419
173,5453
174,5357
175,5648
176,4973
177,5865
178,4928
179,5145
180,6237
181,5489
182,5464
183,6160
184,5224
185,5471
186,5531
187,5270
188,5762
189,5813
190,7078
191,6405
192,7082
193,7441
194,6817
195,6999
196,7474
197,7508
198,6145
199,5969
200,6270
201,6018
202,6340
203,6275
204,6529
205,5558
206,5812
207,6079
208,5479
209,6313
210,6027
211,5672
212,5898
213,5690
214,5768
215,5745
216,6256
217,5964
218,5384
219,6430
220,5589
221,6091
222,5542
223,5492
224,6049
225,5828
226,5360
227,5703
228,6531
229,6515
230,6421
231,6130
232,5994
233,5931
234,6154
235,6349
236,6345
237,5916
238,5517
239,6493
240,6838
241,6140
242,6699
243,6614
244,5639
245,6092
246,6113
247,5934
248,6296
249,6200
250,5917
251,5751
252,5894
253,5992
254,6190
255,5706
256,6259
257,6117
258,5999
259,6126
260,6169
261,6256
262,5701
263,6130
264,5899
265,6544
266,6674
267,5706
268,6448
269,6239
270,6167
271,6230
272,6276
273,6018
274,6403
275,6142
276,6863
277,6261
278,6030
279,6279
280,6769
281,6126
282,6420
283,5855
284,6679
285,6618
286,6658
287,6498
288,6976
289,6795
290,6866
291,6252
292,7107
293,6375
294,6359
295,6720
296,6201
297,6315
298,6806
299,6439
300,7719
301,6431
302,6434
303,6869
304,7298
305,6465
306,6594
307,6682
308,6602
309,6626
310,6626
311,6280
312,7091
313,6780
314,7032
315,6554
316,7160
317,6476
318,6777
319,6851
320,6784
321,7158
322,7061
323,6521
324,7128
325,6891
326,6409
327,6777
328,7790
329,7477
330,7105
331,7659
332,7513
333,7725
334,7620
335,7097
336,7010
337,7288
338,6930
339,6814
340,6912
341,6940
342,7183
343,7002
344,7028
345,7082
346,7767
347,7590
348,7299
349,6907
350,7304
351,7709
352,7645
353,7231
354,7043
355,6894
356,7510
357,7189
358,7420
359,7221
360,8060
361,8437
362,8679
363,7713
364,8073
365,7720
366,7327
367,7610
368,7590
369,7211
370,7223
371,7404
372,7836
373,8205
374,6990
375,7768
376,7791
377,7728
378,7256
379,7158
380,7287
381,7753
382,7159
383,7579
384,7706
385,7386
386,7615
387,7616
388,7717
389,7729
390,8317
391,8388
392,7486
393,8270
394,7751
395,7316
396,7327
397,7409
398,7353
399,7389
400,7826
401,8173
402,8105
403,7284
404,7604
405,7311
406,7434
407,7716
408,8028
409,7697
410,7870
411,7605
412,7482
413,8140
414,8149
415,7759
416,7937
417,8189
418,7762
419,7951
420,8764
421,8446
422,8860
423,8888
424,8343
425,8629
426,9018
427,8623
428,8508
429,8486
430,8306
431,8487
432,7786
433,7973
434,8612
435,8297
436,8195
437,8656
438,8023
439,8010
440,7986
441,8094
442,8918
443,8094
444,8740
445,7907
446,8001
447,8936
448,8090
449,8153
450,8626
451,8479
452,8434
453,8008
454,7930
455,8493
456,8803
457,8361
458,8558
459,8645
460,8998
461,8574
462,8536
463,8054
464,8341
465,8627
466,8518
467,8277
468,8647
469,8729
470,8645
471,8259
472,8444
473,8657
474,8632
475,9029
476,8619
477,8440
478,8516
479,8733
480,8867
481,8888
482,9105
483,9210
484,8263
485,8512
486,8446
487,8719
488,9124
489,8703
490,9054
491,9233
492,8517
493,9476
494,9196
495,9096
496,9252
497,8464
498,9240
499,8520
500,9307
501,8807
502,8886
503,8653
504,8625
505,9085
506,8875
507,9047
508,10013
509,9516
510,9629
511,9510
512,9170
513,9476
514,8778
515,9323
516,9065
517,8905
518,9434
519,9003
520,9377
521,8580
522,9158
523,8660
524,8552
525,8955
526,9276
527,9321
528,9051
529,8808
530,9295
531,8750
532,8504
533,9342
534,9051
535,9383
536,9149
537,8916
538,9463
539,9223
540,10354
541,9740
542,9897
543,9126
544,9137
545,8845
546,8826
547,9270
548,9923
549,9924
550,9843
551,8730
552,9399
553,8855
554,9273
555,9551
556,9307
557,8983
558,8881
559,8952
560,9891
561,9567
562,8942
563,9276
564,9388
565,9848
566,9303
567,9487
568,8965
569,9543
570,9901
571,9685
572,9347
573,9418
574,9608
575,9551
576,9072
577,9285
578,9428
579,9831
580,10205
581,9446
582,10143
583,9872
584,10008
585,10218
586,9486
587,9520
588,9728
589,9298
590,9225
591,9545
592,9838
593,9777
594,9351
595,10225
596,9349
597,8977
598,10035
599,9669
600,10539
601,9578
602,9835
603,10205
604,10306
605,9505
606,10191
607,9680
608,9724
609,9181
610,9898
611,9698
612,10126
613,9202
614,9396
615,9939
616,9418
617,9591
618,9920
619,10016
620,10294
621,9766
622,10028
623,9679
624,9256
625,9774
626,10013
627,9818
628,9427
629,9798
630,9787
631,10041
632,9901
633,9613
634,9007
635,9545
636,9119
637,9242
638,9248
639,9369
640,9554
641,9779
642,9495
643,9098
644,9399
645,9363
646,9534
647,9760
648,9597
649,9827
650,9504
651,9067
652,9431
653,8900
654,9506
655,9313
656,9418
657,9363
658,9015
659,9708
660,10494
661,9853
662,9753
663,10286
664,9207
665,9370
666,9362
667,10082
668,9239
669,9271
670,10351
671,9924
672,10083
673,9478
674,9023
675,9532
676,9078
677,9889
678,9097
679,9269
680,9007
681,8674
682,9409
683,9016
684,9920
685,9156
686,9771
687,8815
688,8976
689,9082
690,9121
691,9975
692,9562
693,9563
694,10022
695,9682
696,9288
697,9327
698,9018
699,9889
700,9651
701,9563
702,9705
703,9858
704,9429
705,9460
706,9863
707,9895
708,9437
709,9148
710,9553
711,9823
712,9946
713,9818
714,9433
715,9848
716,9261
717,9340
718,9938
719,9157
720,10108
721,10098
722,9714
723,10230
724,10125
725,9954
726,10197
727,9729
728,10193
729,10193
730,10051
731,9294
732,10070
733,9921
734,9591
735,9301
736,10091
737,9626
738,9373
739,9475
740,9212
741,9524
742,9788
743,9193
744,9306
745,9271
746,8823
747,8790
748,8988
749,9227
750,9442
751,9123
752,9052
753,9533
754,9378
755,9156
756,9119
757,9084
758,9404
759,9202
760,9200
761,8942
762,9473
763,8734
764,8745
765,9173
766,8890
767,9323
768,9127
769,9224
770,9181
771,9436
772,9075
773,8457
774,9060
775,9268
776,9506
777,9553
778,9102
779,9040
780,9875
781,9746
782,10196
783,9531
784,9448
785,9481
786,9192
787,9164
788,9445
789,9384
790,9338
791,8930
792,9386
793,9357
794,8933
795,9278
796,9289
797,8625
798,9124
799,8428
800,9179
801,8587
802,8767
803,9008
804,8873
805,8800
806,8959
807,9175
808,9126
809,8959
810,9544
811,9121
812,9149
813,8718
814,9032
815,9036
816,8368
817,9012
818,8284
819,8905
820,9331
821,8909
822,8158
823,9066
824,9114
825,8321
826,8450
827,8861
828,8376
829,9257
830,8820
831,9499
832,8988
833,9569
834,9033
835,8883
836,8576
837,8236
838,9004
839,9100
840,9507
841,8778
842,9600
843,8678
844,8614
845,8565
846,8825
847,8690
848,8140
849,8639
850,9007
851,8578
852,8767
853,9130
854,8709
855,8542
856,8855
857,8359
858,8798
859,8387
860,8468
861,8817
862,8617
863,8760
864,7577
865,8422
866,8508
867,8684
868,8320
869,8282
870,9148
871,8786
872,8439
873,9051
874,8473
875,7844
876,7825
877,8290
878,8168
879,8152
880,7636
881,7697
882,7756
883,7767
884,8686
885,7689
886,8831
887,8476
888,8053
889,8242
890,8217
891,8200
892,8109
893,8639
894,8166
895,7608
896,7991
897,7790
898,7779
899,7744
900,8718
901,8767
902,8273
903,8764
904,8526
905,7599
906,7666
907,7378
908,7693
909,8168
910,8224
911,8037
912,8115
913,8210
914,7491
915,7903
916,7672
917,7024
918,7652
919,7461
920,8038
921,7569
922,7926
923,7507
924,7109
925,7877
926,7742
927,7546
928,7810
929,7292
930,7883
931,7862
932,7201
933,7470
934,7715
935,7486
936,7315
937,8042
938,7086
939,7611
940,7290
941,7491
942,7568
943,6870
944,6477
945,7794
946,7713
947,7138
948,6791
949,7063
950,7281
951,6546
952,6728
953,6756
954,7343
955,6629
956,6249
957,6510
958,6676
959,6892
960,7583
961,7298
962,7160
963,7250
964,7342
965,6570
966,7296
967,7048
968,7302
969,7575
970,6854
971,6524
972,6743
973,7201
974,6594
975,7035
976,6442
977,6967
978,7321
979,6580
980,6380
981,6011
982,6620
983,6736
984,6912
985,6080
986,6653
987,6511
988,6061
989,6184
990,6243
991,6945
992,6620
993,6239
994,6410
995,6935
996,6536
997,6609
998,6538
999,6391
1000,5983
1001,6373
1002,6372
1003,6591
1004,5807
1005,6442
1006,6306
1007,6333
1008,6576
1009,6666
1010,7004
1011,6372
1012,6397
1013,5624
1014,5939
1015,6862
1016,6432
1017,6061
1018,5711
1019,5810
1020,6906
1021,6622
1022,6883
1023,6490
1024,6311
1025,6852
1026,6415
1027,6139
1028,5632
1029,6559
1030,6250
1031,6235
1032,5727
1033,5587
1034,5610
1035,6345
1036,5974
1037,6330
1038,6584
1039,6713
1040,6622
1041,6189
