,count
0,87
1,76
2,81
3,110
4,78
5,92
6,104
7,94
8,82
9,99
10,86
11,70
12,83
13,92
14,89
15,71
16,85
17,102
18,69
19,106
20,72
21,72
22,88
23,66
24,99
25,58
26,77
27,63
28,72
29,92
30,92
31,76
32,92
33,92
34,107
35,105
36,76
37,76
38,73
39,70
40,80
41,87
42,62
43,76
44,68
45,84
46,73
47,79
48,108
49,94
50,87
51,79
52,82
53,65
54,92
55,99
56,68
57,103
58,81
59,77
60,74
61,85
62,77
63,71
64,73
65,94
66,80
67,108
68,65
69,75
70,84
71,64
72,78
73,88
74,78
75,73
76,82
77,84
78,79
79,65
80,73
81,95
82,89
83,69
84,84
85,74
86,54
87,73
88,82
89,88
90,66
91,75
92,69
93,80
94,84
95,94
96,73
97,74
98,90
99,104
100,78
101,89
102,66
103,91
104,76
105,75
106,71
107,58
108,74
109,62
110,75
111,72
112,85
113,81
114,111
115,83
116,81
117,100
118,79
119,73
120,67
121,69
122,67
123,64
124,66
125,89
126,60
127,64
128,73
129,79
130,71
131,79
132,75
133,96
134,77
135,68
136,92
137,69
138,93
139,80
140,74
141,88
142,74
143,78
144,102
145,109
146,63
147,59
148,89
149,76
150,83
151,77
152,98
153,76
154,63
155,69
156,85
157,72
158,72
159,76
160,71
161,78
162,85
163,53
164,98
165,63
166,69
167,66
168,109
169,83
170,86
171,75
172,76
173,89
174,81
175,84
176,81
177,86
178,75
179,60
180,74
181,89
182,87
183,74
184,58
185,70
186,88
187,68
188,86
189,67
190,74
191,85
192,80
193,101
194,61
195,73
196,90
197,63
198,69
199,88
200,83
201,71
202,79
203,70
204,75
205,83
206,76
207,74
208,73
209,81
210,88
211,90
212,85
213,101
214,62
215,60
216,88
217,77
218,71
219,71
220,78
221,81
222,76
223,63
224,55
225,87
226,64
227,77
228,84
229,90
230,106
231,105
232,70
233,54
234,73
235,73
236,77
237,88
238,82
239,90
240,66
241,91
242,85
243,113
244,96
245,108
246,61
247,77
248,78
249,95
250,98
251,85
252,116
253,75
254,93
255,80
256,77
257,97
258,78
259,98
260,101
261,88
262,82
263,95
264,96
265,99
266,95
267,91
268,85
269,91
270,74
271,82
272,60
273,74
274,93
275,92
276,112
277,93
278,79
279,79
280,130
281,86
282,90
283,80
284,100
285,108
286,77
287,90
288,90
289,100
290,91
291,125
292,96
293,75
294,81
295,92
296,111
297,106
298,70
299,89
300,89
301,104
302,84
303,75
304,103
305,109
306,111
307,68
308,83
309,91
310,86
311,108
312,85
313,82
314,109
315,90
316,81
317,84
318,83
319,78
320,93
321,114
322,111
323,93
324,95
325,111
326,116
327,79
328,93
329,106
330,115
331,74
332,89
333,119
334,128
335,113
336,87
337,99
338,107
339,84
340,86
341,83
342,94
343,98
344,137
345,104
346,131
347,111
348,97
349,120
350,120
351,67
352,123
353,82
354,108
355,91
356,112
357,76
358,115
359,121
360,83
361,89
362,100
363,114
364,89
365,105
366,98
367,70
368,115
369,86
370,83
371,72
372,103
373,95
374,81
375,100
376,101
377,109
378,76
379,106
380,78
381,99
382,85
383,107
384,101
385,84
386,90
387,78
388,68
389,103
390,106
391,92
392,74
393,98
394,73
395,82
396,84
397,106
398,104
399,80
400,107
401,99
402,92
403,115
404,92
405,99
406,102
407,63
408,100
409,88
410,83
411,92
412,73
413,75
414,80
415,100
416,78
417,119
418,77
419,112
420,95
421,84
422,102
423,73
424,83
425,81
426,53
427,89
428,104
429,78
430,69
431,92
432,76
433,81
434,83
435,83
436,68
437,73
438,68
439,55
440,61
441,71
442,70
443,73
444,110
445,75
446,92
447,75
448,74
449,64
450,78
451,80
452,76
453,66
454,70
455,61
456,86
457,93
458,77
459,69
460,76
461,78
462,65
463,93
464,81
465,84
466,102
467,77
468,88
469,44
470,75
471,80
472,98
473,79
474,69
475,94
476,82
477,74
478,83
479,70
480,92
481,97
482,74
483,70
484,68
485,57
486,85
487,73
488,68
489,85
490,79
491,70
492,84
493,81
494,66
495,82
496,80
497,89
498,71
499,74
500,77
501,87
502,66
503,100
504,89
505,78
506,62
507,96
508,80
509,87
510,88
511,53
512,78
513,75
514,58
515,100
516,87
517,62
518,75
519,97
520,71
521,65
522,77
523,98
524,104
525,99
526,98
527,80
528,82
529,93
530,67
531,76
532,118
533,87
534,109
535,76
536,69
537,90
538,85
539,101
540,67
541,94
542,63
543,75
544,84
545,71
546,92
547,69
548,94
549,82
550,67
551,95
552,75
553,80
554,102
555,107
556,99
557,91
558,114
559,105
560,78
561,79
562,107
563,80
564,101
565,97
566,81
567,96
568,67
569,109
570,70
571,108
572,81
573,79
574,73
575,90
576,77
577,77
578,74
579,80
580,71
581,108
582,95
583,65
584,66
585,121
586,74
587,75
588,68
589,97
590,81
591,87
592,92
593,108
594,104
595,94
596,72
597,66
598,83
599,85
600,104
601,79
602,61
603,88
604,93
605,72
606,105
607,62
608,95
609,87
610,93
611,90
612,73
613,101
614,99
615,76
616,61
617,91
618,72
619,76
620,58
621,65
622,53
623,67
624,70
625,93
626,73
627,112
628,105
629,68
630,98
631,67
632,91
633,76
634,66
635,68
636,92
637,78
638,79
639,77
640,82
641,69
642,95
643,65
644,109
645,90
646,74
647,60
648,108
649,77
650,76
651,79
652,91
653,54
654,84
655,100
656,80
657,91
658,60
659,97
660,99
661,85
662,112
663,87
664,89
665,76
666,69
667,56
668,79
669,108
670,72
671,99
672,98
673,87
674,73
675,82
676,76
677,83
678,96
679,98
680,95
681,76
682,77
683,92
684,93
685,67
686,67
687,90
688,67
689,105
690,56
691,62
692,102
693,81
694,124
695,101
696,104
697,60
698,87
699,93
700,98
701,83
702,69
703,86
704,74
705,118
706,89
707,82
708,87
709,77
710,81
711,71
712,92
713,61
714,90
715,84
716,83
717,78
718,85
719,102
720,80
721,81
722,91
723,99
724,86
725,103
726,80
727,92
728,120
729,106
730,93
731,94
732,83
733,89
734,62
735,74
736,69
737,84
738,82
739,60
740,96
741,94
742,59
743,69
744,80
745,83
746,91
747,96
748,104
749,44
750,97
751,70
752,88
753,57
754,96
755,77
756,88
757,65
758,85
759,62
760,85
761,106
762,87
763,101
764,100
765,84
766,50
767,72
768,109
769,72
770,69
771,77
772,92
773,96
774,79
775,83
776,66
777,79
778,88
779,99
780,94
781,75
782,88
783,66
784,75
785,101
786,88
787,97
788,87
789,82
790,70
791,82
792,94
793,73
794,110
795,95
796,85
797,79
798,75
799,84
800,102
801,79
802,76
803,100
804,94
805,101
806,96
807,66
808,82
809,102
810,69
811,67
812,106
813,90
814,98
815,107
816,73
817,67
818,75
819,101
820,105
821,100
822,72
823,79
824,97
825,104
826,108
827,63
828,82
829,85
830,83
831,62
832,93
833,73
834,107
835,101
836,91
837,83
838,88
839,77
840,90
841,83
842,107
843,60
844,88
845,78
846,85
847,112
848,66
849,74
850,94
851,83
852,92
853,103
854,105
855,79
856,102
857,103
858,77
859,103
860,86
861,74
862,72
863,108
864,101
865,62
866,72
867,89
868,107
869,81
870,81
871,89
872,100
873,79
874,90
875,106
876,97
877,99
878,93
879,89
880,102
881,88
882,82
883,88
884,100
885,80
886,91
887,100
888,96
889,83
890,103
891,86
892,92
893,76
894,91
895,105
896,79
897,111
898,96
899,74
900,90
901,87
902,91
903,91
904,70
905,85
906,120
907,80
908,118
909,72
910,96
911,85
912,66
913,125
914,74
915,79
916,103
917,91
918,99
919,92
920,96
921,82
922,99
923,86
924,95
925,100
926,53
927,98
928,93
929,98
930,77
931,72
932,93
933,101
934,64
935,70
936,67
937,81
938,105
939,99
940,65
941,102
942,68
943,77
944,79
945,85
946,102
947,87
948,112
949,100
950,98
951,78
952,74
953,95
954,89
955,84
956,79
957,91
958,109
959,85
960,88
961,83
962,59
963,88
964,96
965,56
966,81
967,93
968,58
969,93
970,104
971,89
972,99
973,81
974,87
975,117
976,88
977,110
978,83
979,82
980,90
981,99
982,98
983,78
984,108
985,104
986,103
987,105
988,82
989,88
990,106
991,85
992,78
993,78
994,81
995,74
996,94
997,99
998,106
999,78
1000,85
1001,104
1002,79
1003,118
1004,78
1005,87
1006,89
1007,95
1008,104
1009,78
1010,108
1011,112
1012,92
1013,100
1014,78
1015,68
1016,81
1017,79
1018,84
1019,94
1020,93
1021,72
1022,84
1023,74
1024,85
1025,76
1026,101
1027,89
1028,78
1029,73
1030,91
1031,106
1032,88
1033,81
1034,98
1035,85
1036,95
1037,126
1038,105
1039,114
1040,108
1041,112
1042,99
1043,86
1044,79
1045,117
1046,98
1047,81
1048,98
1049,35
1050,89
1051,109
1052,87
1053,90
1054,101
1055,100
1056,97
1057,104
1058,114
1059,84
1060,104
1061,105
1062,91
1063,98
1064,110
1065,121
1066,88
1067,103
1068,118
1069,125
1070,86
1071,107
1072,100
1073,107
1074,96
1075,117
1076,98
1077,104
1078,114
1079,90
1080,86
1081,109
1082,113
1083,122
1084,94
1085,90
1086,98
1087,106
1088,95
1089,101
1090,98
1091,111
1092,113
1093,99
1094,101
1095,112
1096,124
1097,85
1098,110
1099,104
1100,92
1101,85
1102,103
1103,101
1104,86
1105,95
1106,99
1107,83
1108,114
1109,106
1110,95
1111,117
1112,102
1113,97
1114,109
1115,95
1116,85
1117,99
1118,101
1119,99
1120,74
1121,100
1122,79
1123,76
1124,107
1125,96
1126,101
1127,95
1128,87
1129,94
1130,82
1131,109
1132,73
1133,94
1134,105
1135,96
1136,100
1137,91
1138,90
1139,77
1140,90
1141,118
1142,91
1143,73
1144,83
1145,103
1146,74
1147,75
1148,66
1149,89
1150,84
1151,95
1152,98
1153,123
1154,87
1155,105
1156,78
1157,117
1158,80
1159,82
1160,93
1161,95
1162,83
1163,74
1164,77
1165,125
1166,111
1167,72
1168,100
1169,75
1170,99
1171,65
1172,90
1173,86
1174,86
1175,78
1176,103
1177,107
1178,116
1179,73
1180,71
1181,109
1182,88
1183,96
1184,93
1185,92
1186,103
1187,77
1188,76
1189,86
1190,126
1191,101
1192,82
1193,84
1194,83
1195,97
1196,82
1197,111
1198,106
1199,121
1200,100
1201,98
1202,99
1203,81
1204,101
1205,119
1206,118
1207,82
1208,121
1209,61
1210,83
1211,91
1212,110
1213,119
1214,103
1215,92
1216,91
1217,80
1218,80
1219,83
1220,99
1221,87
1222,80
1223,114
1224,88
1225,105
1226,80
1227,106
1228,90
1229,104
1230,106
1231,111
1232,80
1233,98
1234,110
1235,105
1236,88
1237,87
1238,85
1239,83
1240,114
1241,92
1242,113
1243,101
1244,112
1245,83
1246,81
1247,85
1248,108
1249,111
1250,115
1251,81
1252,126
1253,111
1254,112
1255,127
1256,87
1257,112
1258,146
1259,101
1260,106
1261,116
1262,100
1263,119
1264,92
1265,129
1266,110
1267,118
1268,98
1269,104
1270,105
1271,115
1272,108
1273,107
1274,107
1275,101
1276,71
1277,99
1278,86
1279,98
1280,108
1281,121
1282,111
1283,99
1284,101
1285,134
1286,112
1287,103
1288,123
1289,91
1290,120
1291,89
1292,84
1293,109
1294,124
1295,118
1296,89
1297,93
1298,100
1299,111
1300,123
1301,129
1302,128
1303,117
1304,116
1305,101
1306,109
1307,106
1308,130
1309,97
1310,96
1311,109
1312,129
1313,107
1314,104
1315,114
1316,117
1317,115
1318,122
1319,112
1320,113
1321,112
1322,140
1323,84
1324,105
1325,105
1326,111
1327,115
1328,131
1329,85
1330,123
1331,117
1332,112
1333,112
1334,131
1335,109
1336,116
1337,115
1338,112
1339,105
1340,109
1341,100
1342,101
1343,116
1344,98
1345,107
1346,116
1347,106
1348,101
1349,101
1350,103
1351,105
1352,96
1353,75
1354,102
1355,120
1356,101
1357,106
1358,132
1359,104
1360,117
1361,111
1362,107
1363,109
1364,128
1365,98
1366,99
1367,107
1368,101
1369,94
1370,106
1371,105
1372,105
1373,98
1374,99
1375,79
1376,99
1377,107
1378,99
1379,112
1380,90
1381,84
1382,109
1383,97
1384,109
1385,109
1386,105
1387,100
1388,85
1389,88
1390,108
1391,129
1392,109
1393,96
1394,117
1395,99
1396,83
1397,90
1398,117
1399,112
1400,101
1401,90
1402,124
1403,89
1404,111
1405,100
1406,92
1407,96
1408,113
1409,107
1410,97
1411,99
1412,93
1413,112
1414,106
1415,95
1416,92
1417,99
1418,81
1419,96
1420,112
1421,97
1422,87
1423,100
1424,104
1425,72
1426,73
1427,87
1428,81
1429,101
1430,84
1431,118
1432,86
1433,86
1434,85
1435,103
1436,111
1437,104
1438,104
1439,111
1440,96
1441,76
1442,116
1443,86
1444,122
1445,96
1446,95
1447,91
1448,112
1449,83
1450,112
1451,107
1452,80
1453,97
1454,120
1455,97
1456,117
1457,93
1458,104
1459,96
1460,106
1461,107
1462,104
1463,105
1464,102
1465,129
1466,100
1467,110
1468,83
1469,112
1470,114
1471,118
1472,98
1473,98
1474,95
1475,103
1476,107
1477,112
1478,115
1479,121
1480,111
1481,91
1482,84
1483,79
1484,96
1485,108
1486,92
1487,95
1488,98
1489,93
1490,86
1491,102
1492,83
1493,103
1494,119
1495,97
1496,93
1497,110
1498,98
1499,100
1500,87
1501,81
1502,85
1503,111
1504,93
1505,117
1506,111
1507,109
1508,120
1509,112
1510,96
1511,98
1512,86
1513,117
1514,95
1515,90
1516,124
1517,96
1518,95
1519,101
1520,103
1521,97
1522,110
1523,82
1524,74
1525,94
1526,100
1527,107
1528,111
1529,112
1530,84
1531,109
1532,128
1533,106
1534,119
1535,90
1536,100
1537,109
1538,112
1539,112
1540,100
1541,92
1542,105
1543,85
1544,109
1545,81
1546,77
1547,112
1548,113
1549,118
1550,123
1551,113
1552,108
1553,113
1554,106
1555,110
1556,130
1557,131
1558,106
1559,97
1560,103
1561,132
1562,103
1563,133
1564,107
1565,126
1566,109
1567,106
1568,97
1569,126
1570,122
1571,95
1572,131
1573,89
1574,106
1575,123
1576,132
1577,114
1578,106
1579,120
1580,98
1581,108
1582,104
1583,113
1584,115
1585,99
1586,111
1587,115
1588,108
1589,91
1590,101
1591,109
1592,114
1593,91
1594,105
1595,109
1596,94
1597,80
1598,122
1599,95
1600,96
1601,106
1602,101
1603,112
1604,104
1605,87
1606,88
1607,113
1608,122
1609,104
1610,105
1611,91
1612,105
1613,69
1614,97
1615,91
1616,78
1617,122
1618,75
1619,103
1620,106
1621,99
1622,105
1623,113
1624,94
1625,111
1626,111
1627,97
1628,102
1629,86
1630,97
1631,93
1632,86
1633,112
1634,86
1635,91
1636,67
1637,122
1638,104
1639,77
1640,76
1641,98
1642,117
1643,98
1644,62
1645,112
1646,84
1647,104
1648,96
1649,91
1650,84
1651,96
1652,78
1653,110
1654,96
1655,80
1656,111
1657,71
1658,90
1659,96
1660,89
1661,79
1662,115
1663,119
1664,88
1665,71
1666,94
1667,91
1668,85
1669,87
1670,84
1671,81
1672,96
1673,102
1674,93
1675,106
1676,108
1677,124
1678,103
1679,97
1680,118
1681,87
1682,100
1683,109
1684,88
1685,103
1686,109
1687,95
1688,98
1689,115
1690,115
1691,97
1692,115
1693,117
1694,116
1695,65
1696,100
1697,103
1698,109
1699,114
1700,114
1701,108
1702,102
1703,75
1704,131
1705,115
1706,106
1707,88
1708,113
1709,118
1710,92
1711,128
1712,115
1713,107
1714,87
1715,115
1716,110
1717,97
1718,113
1719,107
1720,127
1721,105
1722,75
1723,93
1724,87
1725,89
1726,118
1727,102
1728,108
1729,110
1730,95
1731,116
1732,89
1733,114
1734,74
1735,120
1736,109
1737,99
1738,109
1739,96
1740,103
1741,78
1742,87
1743,100
1744,96
1745,97
1746,119
1747,97
1748,88
1749,100
1750,106
1751,81
1752,74
1753,83
1754,131
1755,91
1756,125
1757,104
1758,80
1759,101
1760,98
1761,94
1762,98
1763,113
1764,94
1765,96
1766,104
1767,116
1768,129
1769,104
1770,137
1771,111
