Date,Open,High,Low,Close,Adj Close,Volume,Tesla Trend,Musk Trend,GM Trend,EV Trend,Coronavirus Trend,Month,Day of the Month,Day of the Week,Day of the Year,Year
2015-01-02,44.574001,44.650002,42.652,43.862,43.862,23822000.0,7.6,2.35,73.0,14.74,0.0,1,2,4,2,2015
2015-01-05,42.91,43.299999,41.431999,42.018002,42.018002,26842500.0,6.46,0.9,56.94,9.68,0.0,1,5,0,5,2015
2015-01-06,42.012001,42.84,40.841999,42.256001,42.256001,31309500.0,8.17,5.0,66.42999999999999,11.88,0.0,1,6,1,6,2015
2015-01-07,42.669998,42.956001,41.956001,42.189999,42.189999,14842000.0,7.79,1.4,62.78,20.46,0.0,1,7,2,7,2015
2015-01-08,42.562,42.759998,42.001999,42.124001,42.124001,17212500.0,9.31,0.8,64.97,19.14,0.0,1,8,3,8,2015
2015-01-09,41.784,41.995998,40.992001,41.332001,41.332001,23341500.0,7.41,0.9,67.89,16.94,0.0,1,9,4,9,2015
2015-01-12,40.610001,40.894001,39.849998,40.442001,40.442001,29751500.0,8.55,1.6,69.35,12.76,0.0,1,12,0,12,2015
2015-01-13,40.664001,41.521999,40.181999,40.849998,40.849998,22386500.0,8.36,1.55,66.42999999999999,9.24,0.0,1,13,1,13,2015
2015-01-14,37.166,39.040001,37.0,38.537998,38.537998,57759500.0,11.02,1.65,69.35,18.7,0.0,1,14,2,14,2015
2015-01-15,38.897999,39.150002,38.0,38.374001,38.374001,26082500.0,9.69,1.75,64.24,10.56,0.0,1,15,3,15,2015
2015-01-16,38.139999,38.897999,37.93,38.613998,38.613998,18016000.0,8.74,2.7,64.24,18.26,0.0,1,16,4,16,2015
2015-01-20,38.773998,38.824001,37.408001,38.386002,38.386002,22516000.0,9.88,2.3000000000000003,62.05,15.18,0.0,1,20,1,20,2015
2015-01-21,37.91,39.736,37.902,39.313999,39.313999,20765000.0,9.31,1.85,65.7,10.56,0.0,1,21,2,21,2015
2015-01-22,39.400002,40.647999,39.040001,40.324001,40.324001,20584500.0,8.74,1.35,60.59,18.92,0.0,1,22,3,22,2015
2015-01-23,40.057999,40.700001,39.666,40.257999,40.257999,17193000.0,8.17,1.3,64.24,22.0,0.0,1,23,4,23,2015
2015-01-26,40.366001,41.723999,40.209999,41.310001,41.310001,16172500.0,7.41,4.3,52.56,14.96,0.0,1,26,0,26,2015
2015-01-27,40.883999,41.605999,40.66,41.195999,41.195999,13905000.0,12.16,2.2,64.24,14.96,0.0,1,27,1,27,2015
2015-01-28,41.222,41.273998,39.683998,39.874001,39.874001,15748000.0,19.0,1.8,63.51,11.44,0.0,1,28,2,28,2015
2015-01-29,40.214001,41.195999,39.299999,41.040001,41.040001,17740500.0,16.53,2.0,64.97,18.48,0.0,1,29,3,29,2015
2015-01-30,40.792,41.493999,40.599998,40.720001,40.720001,15035000.0,14.82,1.4,60.59,14.3,0.0,1,30,4,30,2015
2015-02-02,40.793999,42.389999,40.66,42.188,42.188,20746000.0,9.9,2.16,64.39999999999999,16.56,0.0,2,2,0,33,2015
2015-02-03,42.644001,44.074001,42.254002,43.672001,43.672001,24131000.0,10.98,1.71,61.6,13.2,0.0,2,3,1,34,2015
2015-02-04,43.658001,44.296001,43.360001,43.709999,43.709999,16527000.0,10.26,1.41,70.0,19.44,0.0,2,4,2,35,2015
2015-02-05,43.976002,45.096001,43.928001,44.198002,44.198002,17614500.0,9.9,1.11,63.7,12.0,0.0,2,5,3,36,2015
2015-02-06,44.400002,44.68,43.299999,43.472,43.472,16219500.0,11.34,1.08,65.8,13.68,0.0,2,6,4,37,2015
2015-02-09,43.076,43.585999,42.397999,43.495998,43.495998,17362000.0,9.54,1.44,61.6,15.6,0.0,2,9,0,40,2015
2015-02-10,43.509998,44.099998,43.0,43.257999,43.257999,26952500.0,10.62,2.1,65.8,17.759999999999998,0.0,2,10,1,41,2015
2015-02-11,42.442001,42.948002,41.456001,42.560001,42.560001,48845500.0,13.68,1.89,62.99999999999999,15.36,0.0,2,11,2,42,2015
2015-02-12,38.714001,40.618,38.655998,40.576,40.576,78248000.0,18.0,3.0,67.89999999999999,18.96,0.0,2,12,3,43,2015
2015-02-13,40.580002,41.198002,40.181999,40.754002,40.754002,30955000.0,15.3,2.31,65.1,23.04,0.0,2,13,4,44,2015
2015-02-17,41.139999,41.139999,40.299999,40.869999,40.869999,19898000.0,11.88,1.5,60.2,13.44,0.0,2,17,1,48,2015
2015-02-18,40.834,41.234001,40.52,40.891998,40.891998,13568000.0,13.68,1.11,68.6,17.04,0.0,2,18,2,49,2015
2015-02-19,41.0,42.487999,40.75,42.341999,42.341999,25770500.0,11.52,1.11,66.5,13.44,0.0,2,19,3,50,2015
2015-02-20,42.155998,43.52,41.962002,43.422001,43.422001,29910500.0,12.78,1.35,62.99999999999999,21.36,0.0,2,20,4,51,2015
2015-02-23,43.132,43.639999,41.265999,41.467999,41.467999,42499000.0,9.72,1.23,65.8,12.96,0.0,2,23,0,54,2015
2015-02-24,41.458,41.458,40.34,40.821999,40.821999,33018000.0,11.16,1.3199999999999998,65.8,10.8,0.0,2,24,1,55,2015
2015-02-25,40.987999,41.428001,40.515999,40.751999,40.751999,19547500.0,11.7,1.14,64.39999999999999,20.64,0.0,2,25,2,56,2015
2015-02-26,40.799999,42.217999,40.444,41.438,41.438,32364500.0,10.98,1.68,65.8,15.84,0.0,2,26,3,57,2015
